time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
21.6680,197,FR,28,0.34495,-0.14373,0.30005,134,134,134,0.27895,0.42205,-0.15746,1,1,0.450
21.6680,197,BR,21,-0.08416,-0.13498,0.29961,134,134,134,0.27851,-0.04116,-0.13590,1,1,0.450
21.6780,197,FL,13,0.24583,0.14524,0.30079,134,134,134,0.27968,0.36597,0.16274,1,1,0.450
21.6780,197,BL,6,-0.19467,0.13694,0.30597,132,132,132,0.28485,-0.15775,0.13939,1,1,0.450
21.6780,197,FR,28,0.35348,-0.14327,0.30001,134,134,134,0.27891,0.44245,-0.15746,1,1,0.450
21.6780,197,BR,21,-0.07867,-0.13381,0.29949,134,134,134,0.27838,-0.02618,-0.13555,1,1,0.450
21.6880,197,FL,13,0.24482,0.14486,0.30093,134,134,134,0.27983,0.36191,0.16260,1,1,0.450
21.6880,197,BL,6,-0.19461,0.13646,0.30640,132,132,132,0.28528,-0.16045,0.13872,1,1,0.450
21.6880,197,FR,28,0.35202,-0.14338,0.30005,134,134,134,0.27894,0.43873,-0.15740,1,1,0.450
21.6880,197,BR,21,-0.08013,-0.13431,0.29945,134,134,134,0.27835,-0.02901,-0.13612,1,1,0.450
21.6960,198,FL,12,0.24711,0.14488,0.30109,134,134,134,0.27998,0.36939,0.16266,1,1,0.450
21.6960,198,BL,5,-0.19412,0.13633,0.30695,132,132,132,0.28583,-0.15601,0.13853,1,1,0.450
21.6960,198,FR,27,0.35917,-0.14333,0.30005,134,134,134,0.27895,0.44762,-0.15801,1,1,0.450
21.6980,198,BR,20,-0.07518,-0.13449,0.29952,134,134,134,0.27842,-0.02266,-0.13704,1,1,0.450
21.7060,198,FL,12,0.24520,0.14560,0.30111,134,134,134,0.28000,0.36571,0.16376,1,1,0.450
21.7080,198,BL,5,-0.19471,0.13613,0.30723,132,132,132,0.28610,-0.15930,0.13872,1,1,0.450
21.7080,198,FR,27,0.35798,-0.14277,0.30002,134,134,134,0.27892,0.45002,-0.15798,1,1,0.450
21.7080,198,BR,20,-0.07695,-0.13339,0.29946,134,134,134,0.27836,-0.02211,-0.13652,1,1,0.450
21.7160,198,FL,12,0.24667,0.14549,0.30131,134,134,134,0.28020,0.37158,0.16373,1,1,0.450
