time,map_stamp,frame,leg,touchdown_index,touchdown_time,nominal_x,nominal_y,nominal_traversability,selected_x,selected_y,selected_z,selected_z_raw,selected_z_inpainted,selected_hole_mask_recon,selected_observed,selected_binary_safe,snap_distance,hip_distance,foothold_status
21.8360,0,map,FL,24,6.3000,0.21288,0.14147,1.00000,0.21288,0.14147,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01211,0
21.8360,0,map,BL,17,6.0900,-0.18073,0.14193,1.00000,-0.18073,0.14193,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01261,0
21.8360,0,map,FR,9,5.8500,0.19817,-0.14251,1.00000,0.19817,-0.14251,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01178,0
21.8360,0,map,FR,39,6.7500,0.23240,-0.14255,1.00000,0.23240,-0.14255,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.00759,0
21.8360,0,map,BR,2,5.6400,-0.19964,-0.14205,1.00000,-0.19964,-0.14205,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01315,0
21.8360,0,map,BR,32,6.5400,-0.16535,-0.14209,1.00000,-0.16535,-0.14209,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01038,0
21.8740,0,map,FL,23,6.3000,0.26822,0.15963,1.00000,0.26822,0.15963,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03615,0
21.8740,0,map,BL,16,6.0900,-0.19757,0.13339,1.00000,-0.19757,0.13339,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03715,0
21.8740,0,map,FR,8,5.8500,0.24754,-0.17739,1.00000,0.24754,-0.17739,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04170,0
21.8740,0,map,FR,38,6.7500,0.29691,-0.18466,1.00000,0.29691,-0.18466,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02923,0
21.8740,0,map,BR,1,5.6400,-0.22238,-0.15181,1.00000,-0.22238,-0.15181,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03214,0
21.8740,0,map,BR,31,6.5400,-0.14443,-0.15811,1.00000,-0.14443,-0.15811,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03016,0
21.8960,0,map,FL,22,6.3000,0.28254,0.16440,1.00000,0.28254,0.16440,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03425,0
