time,map_stamp,frame,leg,touchdown_index,touchdown_time,nominal_x,nominal_y,nominal_traversability,selected_x,selected_y,selected_z,selected_z_raw,selected_z_inpainted,selected_hole_mask_recon,selected_observed,selected_binary_safe,snap_distance,hip_distance,foothold_status
19.2400,0,map,FL,28,7.2000,0.21726,0.14147,1.00000,0.21726,0.14147,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01127,0
19.2400,0,map,BL,21,6.9900,-0.17722,0.14190,1.00000,-0.17722,0.14190,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01267,0
19.2400,0,map,FR,13,6.7500,0.20200,-0.14251,1.00000,0.20200,-0.14251,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01243,0
19.2400,0,map,BR,6,6.5400,-0.19281,-0.14208,1.00000,-0.19281,-0.14208,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01193,0
19.2400,0,map,BR,36,7.4400,-0.16026,-0.14212,1.00000,-0.16026,-0.14212,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.00929,0
19.2840,0,map,FL,27,7.2000,0.27111,0.15429,1.00000,0.27111,0.15429,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03083,0
19.2840,0,map,BL,20,6.9900,-0.18386,0.13212,1.00000,-0.18386,0.13212,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03101,0
19.2840,0,map,FR,12,6.7500,0.25666,-0.17001,1.00000,0.25666,-0.17001,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04681,0
19.2840,0,map,BR,5,6.5400,-0.23665,-0.14435,1.00000,-0.23665,-0.14435,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04361,0
19.2840,0,map,BR,35,7.4400,-0.13511,-0.16337,1.00000,-0.13511,-0.16337,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02433,0
19.2940,0,map,FL,27,7.2000,0.29746,0.15474,1.00000,0.29746,0.15474,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03238,0
19.2940,0,map,BL,20,6.9900,-0.15677,0.12932,1.00000,-0.15677,0.12932,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02636,0
19.2940,0,map,FR,12,6.7500,0.26630,-0.16826,1.00000,0.26630,-0.16826,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04432,0
19.2940,0,map,BR,5,6.5400,-0.22726,-0.14460,1.00000,-0.22726,-0.14460,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04667,0
19.2940,0,map,BR,35,7.4400,-0.10112,-0.15791,1.00000,-0.10112,-0.15791,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02773,0
19.3020,0,map,FL,26,7.2000,0.31892,0.15543,1.00000,0.31892,0.15543,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03427,0
19.3020,0,map,BL,19,6.9900,-0.13939,0.13070,1.00000,-0.13939,0.13070,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02707,0
19.3020,0,map,FR,11,6.7500,0.28055,-0.16862,1.00000,0.28055,-0.16862,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04716,0
19.3040,0,map,BR,4,6.5400,-0.21735,-0.14467,1.00000,-0.21735,-0.14467,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04845,0
19.3040,0,map,BR,34,7.4400,-0.07428,-0.15693,1.00000,-0.07428,-0.15693,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02984,0
19.3140,0,map,FL,26,7.2000,0.34655,0.15529,1.00000,0.34655,0.15529,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04168,0
19.3140,0,map,BL,19,6.9900,-0.11691,0.13009,1.00000,-0.11691,0.13009,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02849,0
19.3140,0,map,FR,11,6.7500,0.29579,-0.16972,1.00000,0.29579,-0.16972,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05323,0
19.3140,0,map,BR,4,6.5400,-0.20647,-0.14571,1.00000,-0.20647,-0.14571,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04869,0
19.3140,0,map,BR,34,7.4400,-0.04306,-0.15695,1.00000,-0.04306,-0.15695,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03614,0
19.3220,0,map,FL,26,7.2000,0.34163,0.15533,1.00000,0.34163,0.15533,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03938,0
19.3220,0,map,BL,19,6.9900,-0.12054,0.13064,1.00000,-0.12054,0.13064,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02990,0
19.3220,0,map,FR,11,6.7500,0.29071,-0.16948,1.00000,0.29071,-0.16948,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04996,0
