map_stamp,frame,cell_i,cell_j,x,y,z_raw,z_inpainted,z_smooth,slope,roughness,hole_mask_recon,hole_mask_filtered,traversability,traversability_mask,observed,inside_map,binary_safe
0,map,0,50,8.1250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,1,50,8.0750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,2,50,8.0250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,3,50,7.9750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,4,50,7.9250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,5,50,7.8750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,6,50,7.8250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,7,50,7.7750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,8,50,7.7250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,9,50,7.6750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,10,50,7.6250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,11,50,7.5750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,12,50,7.5250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,13,50,7.4750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,14,50,7.4250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,15,50,7.3750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,16,50,7.3250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,17,50,7.2750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,18,50,7.2250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,19,50,7.1750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,20,50,7.1250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,21,50,7.0750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,22,50,7.0250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,23,50,6.9750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,24,50,6.9250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,25,50,6.8750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,26,50,6.8250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,27,50,6.7750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,28,50,6.7250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,29,50,6.6750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,30,50,6.6250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,31,50,6.5750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,32,50,6.5250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,33,50,6.4750,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
0,map,34,50,6.4250,-0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,nan,1.00000,1.00000,1,1,1
