time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
0.0000,0,0,FL,0.25596,0.13150,0.18596,129
0.0000,0,1,BR,-0.13116,-0.15205,-0.20116,129
0.0000,0,2,FR,0.25564,-0.15250,0.18564,129
0.0000,0,3,BL,-0.13083,0.13195,-0.20083,129
0.0000,0,4,FL,0.25596,0.13150,0.18596,89
0.0000,0,5,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,6,FR,0.25564,-0.15250,0.18564,89
0.0000,0,7,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,8,FL,0.25597,0.13150,0.18597,89
0.0000,0,9,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,10,FR,0.25564,-0.15250,0.18564,89
0.0000,0,11,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,12,FL,0.25597,0.13150,0.18597,89
0.0000,0,13,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,14,FR,0.25564,-0.15250,0.18564,89
0.0000,0,15,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,16,FL,0.25597,0.13150,0.18597,89
0.0000,0,17,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,18,FR,0.25564,-0.15250,0.18564,89
0.0000,0,19,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,20,FL,0.25597,0.13150,0.18597,89
0.0000,0,21,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,22,FR,0.25564,-0.15250,0.18564,89
0.0000,0,23,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,24,FL,0.25597,0.13150,0.18597,89
0.0000,0,25,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,26,FR,0.25564,-0.15250,0.18564,89
0.0000,0,27,BL,-0.13083,0.13195,-0.20083,89
0.0000,0,28,FL,0.25597,0.13150,0.18597,89
0.0000,0,29,BR,-0.13116,-0.15205,-0.20116,89
0.0000,0,30,FR,0.25564,-0.15250,0.18564,89
0.0000,0,31,BL,-0.13083,0.13195,-0.20083,89
14.2840,476,0,FL,0.25420,0.13150,0.18420,131
14.2840,476,1,BR,-0.13254,-0.15205,-0.20254,131
14.2840,476,2,FR,0.25464,-0.15250,0.18464,131
14.2840,476,3,BL,-0.13144,0.13195,-0.20144,131
14.2840,476,4,FL,0.25574,0.13150,0.18574,91
14.2840,476,5,BR,-0.13100,-0.15205,-0.20100,91
14.2840,476,6,FR,0.25619,-0.15250,0.18619,91
14.2840,476,7,BL,-0.12990,0.13195,-0.19990,91
14.2840,476,8,FL,0.25729,0.13150,0.18729,91
14.2840,476,9,BR,-0.12945,-0.15205,-0.19945,91
14.2840,476,10,FR,0.25774,-0.15250,0.18774,91
14.2840,476,11,BL,-0.12835,0.13195,-0.19835,91
14.2840,476,12,FL,0.25884,0.13150,0.18884,91
14.2840,476,13,BR,-0.12790,-0.15205,-0.19790,91
14.2840,476,14,FR,0.25928,-0.15250,0.18928,91
14.2840,476,15,BL,-0.12680,0.13195,-0.19680,91
14.2840,476,16,FL,0.26038,0.13150,0.19038,91
14.2840,476,17,BR,-0.12636,-0.15205,-0.19636,91
14.2840,476,18,FR,0.26083,-0.15250,0.19083,91
14.2840,476,19,BL,-0.12526,0.13195,-0.19526,91
14.2840,476,20,FL,0.26193,0.13150,0.19193,91
14.2840,476,21,BR,-0.12481,-0.15205,-0.19481,91
14.2840,476,22,FR,0.26238,-0.15250,0.19238,91
14.2840,476,23,BL,-0.12371,0.13195,-0.19371,91
14.2840,476,24,FL,0.26348,0.13150,0.19348,91
14.2840,476,25,BR,-0.12326,-0.15205,-0.19326,91
14.2840,476,26,FR,0.26392,-0.15250,0.19392,91
14.2840,476,27,BL,-0.12216,0.13195,-0.19216,91
14.2840,476,28,FL,0.26502,0.13150,0.19502,91
14.2840,476,29,BR,-0.12172,-0.15205,-0.19172,91
14.2840,476,30,FR,0.26547,-0.15250,0.19547,91
