step,sim_time_s,base_pos_x_m,base_pos_y_m,base_pos_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,base_lin_vel_x_mps,base_lin_vel_y_mps,base_lin_vel_z_mps,base_ang_vel_x_radps,base_ang_vel_y_radps,base_ang_vel_z_radps,ref_lin_vel_x_mps,gait_step_freq_hz,gaps_crossed,contact_FL,contact_FR,contact_RL,contact_RR,foot_z_FL_m,foot_z_FR_m,foot_z_RL_m,foot_z_RR_m,foot_over_gap_FL,foot_over_gap_FR,foot_over_gap_RL,foot_over_gap_RR,grf_mpc_FL_x_N,grf_mpc_FL_y_N,grf_mpc_FL_z_N,grf_mpc_FR_x_N,grf_mpc_FR_y_N,grf_mpc_FR_z_N,grf_mpc_RL_x_N,grf_mpc_RL_y_N,grf_mpc_RL_z_N,grf_mpc_RR_x_N,grf_mpc_RR_y_N,grf_mpc_RR_z_N,tau_FL_0_Nm,tau_FL_1_Nm,tau_FL_2_Nm,tau_FR_0_Nm,tau_FR_1_Nm,tau_FR_2_Nm,tau_RL_0_Nm,tau_RL_1_Nm,tau_RL_2_Nm,tau_RR_0_Nm,tau_RR_1_Nm,tau_RR_2_Nm,compute_actions_time_s
0,0.004,2.8725914055507738e-21,-6.574630108921224e-21,0.29017051033281377,7.456726059705091e-19,0.0,0.0,0.009652520893049861,0.00039492681396657316,-0.02825919037684417,0.08630750615222717,-0.08672881009521462,0.006200405360347099,0.7,2.4,0,False,False,False,False,0.02379801003025578,0.02379801003025578,0.02379801003025578,0.02379801003025578,False,False,False,False,29.702554044157246,-3.694258136054605e-05,59.40510824908497,29.70255404415831,-3.6942581360545994e-05,59.40510824908709,29.702554044160394,-3.69425813605461e-05,59.40510824909126,29.702554044162294,-3.69425813605461e-05,59.405108249095065,-5.673177997299851,7.8380899712063625,13.817046018376118,5.673197678275583,7.838089971206642,13.817046018376612,-5.673177997300452,7.838089971207195,13.817046018377582,5.6731976782763445,7.838089971207697,13.817046018378466,0.005492910975590348
1,0.006,1.9305041786099726e-05,7.898536279331397e-07,0.29011399195206006,0.00017261393852366553,-0.0001734586896078305,1.2385840088710969e-05,0.01920313814479276,0.0007798019661897201,-0.03708928263364948,0.17046435768066742,-0.1725152482841436,0.012353386995095778,0.6999999999463069,2.4,0,False,False,False,False,0.02348977022520843,0.023504424841172655,0.02340170456925464,0.023442754897387147,False,False,False,False,29.702554044157246,-3.694258136054605e-05,59.40510824908497,29.70255404415831,-3.6942581360545994e-05,59.40510824908709,29.702554044160394,-3.69425813605461e-05,59.40510824909126,29.702554044162294,-3.69425813605461e-05,59.405108249095065,-5.673177997299851,7.8380899712063625,13.817046018376118,5.673197678275583,7.838089971206642,13.817046018376612,-5.673177997300452,7.838089971207195,13.817046018377582,5.6731976782763445,7.838089971207697,13.817046018378466,0.0012254220200702548
2,0.008,5.771131807568525e-05,2.34945756031258e-06,0.29003981338679274,0.0005135341502341017,-0.0005184976404699615,3.69742428499158e-05,0.032724266562976945,0.0006639718210642022,-0.027084210602831713,0.13522734077561593,-0.2681280955415858,0.01092298372652115,0.6999999995215168,2.4,0,True,True,True,True,0.022916955582835352,0.022960527603914704,0.02265314813088054,0.02277544417651517,False,False,False,False,29.702554044157246,-3.694258136054605e-05,59.40510824908497,29.70255404415831,-3.6942581360545994e-05,59.40510824908709,29.702554044160394,-3.69425813605461e-05,59.40510824909126,29.702554044162294,-3.69425813605461e-05,59.405108249095065,-5.7542700674273455,7.920962974687845,13.893453913855046,5.742157725863,7.888595893652463,13.909270203514055,-5.748438271716824,7.9133127787563495,13.904516357534447,5.736267042497756,7.918855247653734,13.86978572097291,0.001622673007659614
3,0.01,0.00012315985120163914,3.6774012024409845e-06,0.2899856449655871,0.0007839719271911324,-0.001054767889726138,5.8472314224878815e-05,0.04600037925611525,0.0004376737903013119,-0.012326870057561492,0.10798569392629903,-0.3412867622027249,0.01007926613183731,0.6999999988033458,2.4,0,True,True,True,True,0.02242999635928103,0.022496026356250892,0.02201474803903858,0.022195578895342377,False,False,False,False,29.702554044157246,-3.694258136054605e-05,59.40510824908497,29.70255404415831,-3.6942581360545994e-05,59.40510824908709,29.702554044160394,-3.69425813605461e-05,59.40510824909126,29.702554044162294,-3.69425813605461e-05,59.405108249095065,-5.8152077675036,7.989042152678922,13.963965072620224,5.797224580259325,7.922937824562776,13.994939974769085,-5.81227087146634,7.973163023458034,13.984625293104326,5.7875355832860915,7.981817806504703,13.916167319639772,0.0010318149579688907
4,0.012,0.00021516060971386964,4.552748783043609e-06,0.289960991225472,0.0009999160307850525,-0.0017373591215905648,7.802203983887815e-05,0.0588337609167221,0.00032712255575287076,0.002886330496905159,0.08605397983108362,-0.4148961130638842,0.009527545298190382,0.6999999978693964,2.4,0,True,True,True,True,0.022025898132974203,0.022107054160098394,0.02148866878463085,0.02171179702686729,False,False,False,False,29.702554044157246,-3.694258136054605e-05,59.40510824908497,29.70255404415831,-3.6942581360545994e-05,59.40510824908709,29.702554044160394,-3.69425813605461e-05,59.40510824909126,29.702554044162294,-3.69425813605461e-05,59.405108249095065,-5.744601483105719,7.939184621731621,13.959872081806479,5.741893481909556,7.878013258452473,13.991447916163311,-5.760893945934287,7.955851947193339,13.93517176172077,5.739110211092835,7.949438561082752,13.883643550326367,0.0010507690021768212
5,0.014,0.0003328281315473138,5.20699389454935e-06,0.2899667638864658,0.0011719849281130704,-0.0025671715503152726,9.617604761447617e-05,0.07233118639095884,0.0012766109608100104,0.014528046899697052,0.06394594224480868,-0.39463568313957015,0.007767532041702943,0.6999999967625588,2.4,0,True,True,True,True,0.021698311049797886,0.021790374341550484,0.021057390365693818,0.021311842723481494,False,False,False,False,3.427713213370623,-0.21973820163028743,6.855426973399126,6.960350133324884,-0.21973951021150678,13.920700832922059,49.64236743901921,2.9001113505977383,99.28473563193974,53.17500970571062,2.9001113645769534,106.35002020314266,-0.7072901056380596,1.0360020265569139,1.7626630552570501,1.4717952098930212,1.9098970406886413,3.436937291697038,-10.265661454192257,13.147831843686664,23.141870094303943,9.354193293945382,14.041022118203724,24.741206824462218,0.0039960070280358195
6,0.016,0.0004774905043292315,7.76021581616937e-06,0.2899958199802652,0.0012998336962976639,-0.0033564615132011255,0.00011073569572340688,0.08575122053739291,0.0022660182086270252,0.02564364869121808,0.045538659934463196,-0.37251400912791643,0.006267935150341946,0.699999995708162,2.4,0,True,True,True,True,0.021446623986546398,0.021543875383775835,0.02070256501606349,0.02097559958272585,False,False,False,False,3.427713213370623,-0.21973820163028743,6.855426973399126,6.960350133324884,-0.21973951021150678,13.920700832922059,49.64236743901921,2.9001113505977383,99.28473563193974,53.17500970571062,2.9001113645769534,106.35002020314266,-0.6791789183748816,1.0227556817484047,1.7653183829041166,1.4468447817698058,1.89721458269964,3.439436256738928,-10.224895107788319,13.130576848971504,23.10008308441935,9.311559152437582,14.009650941901585,24.708703336483353,0.0010071920696645975
7,0.018000000000000002,0.0006489929454040174,1.2292252233423421e-05,0.29004710727764765,0.0013908680118155606,-0.004101505722108101,0.00012226931081949215,0.0991116177792078,0.003287633246469041,0.03625147245656063,0.03007409066910142,-0.3485056986477383,0.004978182593859792,0.6999999947675754,2.4,0,True,True,True,True,0.02125812716833697,0.02135591880140153,0.020412459296662244,0.020693697718028425,False,False,False,False,3.427713213370623,-0.21973820163028743,6.855426973399126,6.960350133324884,-0.21973951021150678,13.920700832922059,49.64236743901921,2.9001113505977383,99.28473563193974,53.17500970571062,2.9001113645769534,106.35002020314266,-0.6565742935282985,1.0149341087780255,1.746485248517825,1.4275844604729697,1.8873882487964693,3.41861946530211,-10.191706544235487,13.087041096550179,23.075458046570635,9.277280251215608,13.956830086439874,24.691586422421217,0.0010302190203219652
8,0.020000000000000004,0.000847216180962433,1.8867518726361504e-05,0.2901196102225608,0.0014509762966551656,-0.004798530562878378,0.0001312353559460432,0.11243855450775915,0.004336101679817744,0.04637545830722627,0.01694753540604925,-0.32303682215982227,0.0038613784713269466,0.6999999939720485,2.4,0,True,True,True,True,0.021122143715554903,0.02121672067882588,0.02017707579440739,0.020458139641648915,False,False,False,False,3.427713213370623,-0.21973820163028743,6.855426973399126,6.960350133324884,-0.21973951021150678,13.920700832922059,49.64236743901921,2.9001113505977383,99.28473563193974,53.17500970571062,2.9001113645769534,106.35002020314266,-0.6385521836912781,1.0100724113916841,1.7306270786835638,1.4123062313678856,1.8799860248200806,3.401192805153863,-10.16460774109007,13.048162000459701,23.05521356345876,9.249659889779553,13.910509113457914,24.677189305174323,0.0009931360837072134
9,0.022000000000000006,0.0010720932899779512,2.7539722085996992e-05,0.2902123611391752,0.0014848366728966412,-0.005444614847387008,0.00013800981794728426,0.12575059561858545,0.005406884412902637,0.05604644273490881,0.005679342030946537,-0.2964333507762263,0.0028887695425794924,0.6999999933336515,2.4,0,True,True,True,True,0.02102966367215639,0.021118018385114234,0.01998790921985588,0.020262104795445962,False,False,False,False,3.427713213370623,-0.21973820163028743,6.855426973399126,6.960350133324884,-0.21973951021150678,13.920700832922059,49.64236743901921,2.9001113505977383,99.28473563193974,53.17500970571062,2.9001113645769534,106.35002020314266,-0.6241726065424305,1.0072757348083705,1.7172680101858766,1.4001984805256027,1.874295479170509,3.386590534435128,-10.142365887122708,13.012200547973181,23.038571837859696,9.227422577227127,13.868686574053157,24.664972020452034,0.0009851709473878145
