time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
24.5600,320,FR,25,0.31763,-0.13782,0.29984,134,134,134,0.27874,0.40693,-0.15667,1,1,0.450
24.5600,320,BR,18,-0.11336,-0.12549,0.29894,134,134,134,0.27784,-0.06745,-0.13256,1,1,0.450
24.5680,320,FL,10,0.21539,0.15232,0.29931,134,134,134,0.27821,0.32162,0.16970,1,1,0.450
24.5680,320,BL,3,-0.21172,0.14226,0.30103,134,134,134,0.27992,-0.19697,0.14716,1,1,0.450
24.5680,320,FR,25,0.31540,-0.13786,0.29991,134,134,134,0.27881,0.40236,-0.15649,1,1,0.450
24.5680,320,BR,18,-0.11551,-0.12605,0.29895,134,134,134,0.27785,-0.07130,-0.13293,1,1,0.450
24.5780,321,FL,9,0.21676,0.15232,0.29949,134,134,134,0.27839,0.32779,0.16985,1,1,0.450
24.5780,321,BL,2,-0.21155,0.14202,0.30143,134,134,134,0.28033,-0.19369,0.14679,1,1,0.450
24.5780,321,FR,24,0.32154,-0.13772,0.29991,134,134,134,0.27881,0.41066,-0.15717,1,1,0.450
24.5780,321,BR,17,-0.11174,-0.12612,0.29905,134,134,134,0.27795,-0.06224,-0.13291,1,1,0.450
24.5880,321,FL,9,0.21446,0.15315,0.29972,134,134,134,0.27862,0.32192,0.17131,1,1,0.450
24.5880,321,BL,2,-0.21185,0.14155,0.30197,134,134,134,0.28086,-0.19733,0.14658,1,1,0.450
24.5880,321,FR,24,0.31905,-0.13695,0.29987,134,134,134,0.27877,0.41074,-0.15710,1,1,0.450
24.5880,321,BR,17,-0.11479,-0.12488,0.29901,134,134,134,0.27791,-0.06752,-0.13334,1,1,0.450
24.5980,321,FL,9,0.21546,0.15293,0.30008,134,134,134,0.27898,0.32666,0.17116,1,1,0.450
24.5980,321,BL,2,-0.21168,0.14124,0.30273,134,134,134,0.28162,-0.19479,0.14609,1,1,0.450
24.5980,321,FR,24,0.32382,-0.13695,0.29991,134,134,134,0.27881,0.42066,-0.15695,1,1,0.450
24.5980,321,BR,17,-0.11200,-0.12526,0.29911,134,134,134,0.27801,-0.06025,-0.13339,1,1,0.450
24.6080,322,FL,8,0.21363,0.15281,0.30029,134,134,134,0.27919,0.32123,0.17113,1,1,0.450
24.6080,322,BL,1,-0.21206,0.14094,0.30329,134,134,134,0.28218,-0.19872,0.14538,1,1,0.450
24.6080,322,FR,23,0.32089,-0.13701,0.29993,134,134,134,0.27883,0.41198,-0.15785,1,1,0.450
24.6080,322,BR,16,-0.11477,-0.12551,0.29919,134,134,134,0.27809,-0.06479,-0.13367,1,1,0.450
24.6260,322,FL,8,0.21381,0.15363,0.30036,134,134,134,0.27925,0.32309,0.17237,1,1,0.450
24.6280,322,BL,1,-0.21205,0.14073,0.30373,134,134,134,0.28262,-0.19771,0.14537,1,1,0.450
24.6280,322,FR,23,0.32497,-0.13637,0.29990,134,134,134,0.27880,0.41879,-0.16269,1,1,0.450
24.6280,322,BR,16,-0.11309,-0.12408,0.29922,134,134,134,0.27812,-0.06043,-0.13321,1,1,0.450
24.6380,323,FL,7,0.21202,0.15322,0.30056,134,134,134,0.27946,0.32160,0.17213,1,1,0.450
24.6380,323,BL,30,-0.00873,0.13875,0.29988,134,134,134,0.27878,0.04444,0.14119,1,1,0.450
24.6380,323,FR,22,0.32467,-0.13616,0.29981,134,134,134,0.27871,0.41964,-0.16154,1,1,0.450
24.6380,323,BR,15,-0.11486,-0.12446,0.29938,134,134,134,0.27828,-0.05883,-0.13323,1,1,0.450
24.6460,323,FL,7,0.20891,0.15429,0.30043,134,134,134,0.27933,0.31498,0.17337,1,1,0.450
24.6480,323,BL,30,-0.01231,0.13824,0.29987,134,134,134,0.27877,0.03679,0.13453,1,1,0.450
24.6480,323,FR,22,0.32111,-0.13574,0.29983,134,134,134,0.27873,0.41718,-0.16461,1,1,0.450
24.6480,323,BR,15,-0.11887,-0.12300,0.29937,134,134,134,0.27827,-0.06416,-0.13310,1,1,0.450
24.6600,323,FL,7,0.20939,0.15408,0.30057,134,134,134,0.27947,0.31635,0.17320,1,1,0.450
24.6600,323,BL,30,-0.00822,0.13819,0.29989,134,134,134,0.27879,0.04407,0.13446,1,1,0.450
24.6600,323,FR,22,0.32342,-0.13552,0.29979,134,134,134,0.27869,0.42222,-0.16384,1,1,0.450
24.6600,323,BR,15,-0.11774,-0.12320,0.29935,134,134,134,0.27825,-0.06172,-0.13305,1,1,0.450
24.6680,324,FL,6,0.20888,0.15421,0.30036,134,134,134,0.27926,0.31640,0.17338,1,1,0.450
24.6680,324,BL,29,-0.00639,0.13809,0.29989,134,134,134,0.27879,0.04624,0.13450,1,1,0.450
24.6700,324,FR,21,0.32379,-0.13555,0.29980,134,134,134,0.27869,0.42243,-0.16372,1,1,0.450
24.6700,324,BR,14,-0.11828,-0.12335,0.29939,134,134,134,0.27829,-0.05992,-0.13333,1,1,0.450
24.6800,324,FL,6,0.20803,0.15514,0.30006,134,134,134,0.27896,0.31368,0.17471,1,1,0.450
24.6800,324,BL,29,-0.00886,0.13746,0.29988,134,134,134,0.27878,0.04419,0.13043,1,1,0.450
24.6800,324,FR,21,0.32165,-0.13488,0.29976,134,134,134,0.27866,0.42373,-0.16544,1,1,0.450
24.6800,324,BR,14,-0.12037,-0.12194,0.29939,134,134,134,0.27829,-0.06301,-0.13306,1,1,0.450
24.6900,324,FL,6,0.20641,0.15502,0.30015,134,134,134,0.27904,0.30912,0.17464,1,1,0.450
24.6900,324,BL,29,-0.01188,0.13745,0.29989,134,134,134,0.27879,0.04052,0.13036,1,1,0.450
24.6900,324,FR,21,0.31872,-0.13467,0.29976,134,134,134,0.27866,0.41975,-0.16488,1,1,0.450
24.6900,324,BR,14,-0.12299,-0.12220,0.29941,134,134,134,0.27831,-0.06746,-0.13311,1,1,0.450
24.7060,325,FL,5,0.20678,0.15501,0.30024,134,134,134,0.27914,0.30989,0.17476,1,1,0.450
24.7060,325,BL,28,-0.00894,0.13745,0.29990,134,134,134,0.27880,0.04249,0.13070,1,1,0.450
24.7060,325,FR,20,0.32026,-0.13455,0.29977,134,134,134,0.27867,0.42009,-0.16444,1,1,0.450
24.7060,325,BR,13,-0.12233,-0.12217,0.29955,134,134,134,0.27845,-0.06587,-0.13311,1,1,0.450
24.7160,325,FL,5,0.20551,0.15517,0.30075,134,134,134,0.27964,0.30891,0.17548,1,1,0.450
24.7180,325,BL,28,-0.00769,0.13697,0.29989,134,134,134,0.27879,0.04848,0.12819,1,1,0.450
24.7180,325,FR,20,0.32040,-0.13381,0.29979,134,134,134,0.27869,0.42705,-0.16539,1,1,0.450
24.7180,325,BR,13,-0.12361,-0.12092,0.29978,134,134,134,0.27868,-0.06488,-0.13240,1,1,0.450
24.7320,326,FL,4,0.20482,0.15463,0.30129,134,134,134,0.28019,0.30594,0.17488,1,1,0.450
24.7320,326,BL,27,-0.00943,0.13712,0.29989,134,134,134,0.27879,0.04325,0.12887,1,1,0.450
24.7320,326,FR,19,0.31862,-0.13379,0.29987,134,134,134,0.27877,0.42119,-0.16437,1,1,0.450
24.7320,326,BR,12,-0.12513,-0.12143,0.29993,134,134,134,0.27883,-0.06769,-0.13237,1,1,0.450
24.7420,326,FL,4,0.20345,0.15410,0.30207,134,134,134,0.28097,0.30395,0.17477,1,1,0.450
24.7420,326,BL,27,-0.00819,0.13668,0.29989,134,134,134,0.27879,0.04879,0.12725,1,1,0.450
24.7420,326,FR,19,0.31876,-0.13312,0.29992,134,134,134,0.27882,0.42750,-0.16495,1,1,0.450
24.7420,326,BR,12,-0.12650,-0.12052,0.30033,134,134,134,0.27923,-0.06773,-0.13143,1,1,0.450
24.7520,327,FL,3,0.20375,0.15346,0.30284,134,134,134,0.28173,0.30544,0.17408,1,1,0.450
24.7520,327,BL,26,-0.00560,0.13697,0.29989,134,134,134,0.27879,0.05095,0.12824,1,1,0.450
24.7520,327,FR,18,0.32014,-0.13307,0.30003,134,134,134,0.27892,0.42778,-0.16378,1,1,0.450
24.7520,327,BR,11,-0.12585,-0.12097,0.30054,134,134,134,0.27943,-0.06521,-0.13121,1,1,0.450
24.7620,327,FL,3,0.20284,0.15304,0.30332,134,134,134,0.28221,0.30220,0.17370,1,1,0.450
24.7620,327,BL,26,-0.00713,0.13649,0.29989,134,134,134,0.27878,0.05185,0.12718,1,1,0.450
24.7620,327,FR,18,0.31873,-0.13260,0.30006,134,134,134,0.27896,0.43018,-0.16431,1,1,0.450
24.7620,327,BR,11,-0.12770,-0.12018,0.30085,134,134,134,0.27974,-0.06776,-0.13048,1,1,0.450
24.7720,327,FL,3,0.20298,0.15231,0.30412,134,134,134,0.28300,0.30376,0.17300,1,1,0.450
24.7720,327,BL,26,-0.00452,0.13689,0.29988,134,134,134,0.27878,0.05701,0.12774,1,1,0.450
24.7720,327,FR,18,0.32018,-0.13248,0.30017,134,134,134,0.27907,0.43374,-0.16365,1,1,0.450
24.7720,327,BR,11,-0.12702,-0.12059,0.30104,134,134,134,0.27994,-0.06528,-0.13006,1,1,0.450
24.7820,328,FL,2,0.20215,0.15156,0.30473,134,134,134,0.28361,0.30149,0.17216,1,1,0.450
24.7820,328,BL,25,-0.00558,0.13714,0.29988,134,134,134,0.27878,0.05200,0.12882,1,1,0.450
24.7820,328,FR,17,0.31906,-0.13249,0.30023,134,134,134,0.27913,0.43208,-0.16326,1,1,0.450
24.7820,328,BR,10,-0.12826,-0.12093,0.30125,134,134,134,0.28014,-0.06693,-0.12974,1,1,0.450
24.7940,328,FL,2,0.20290,0.15144,0.30487,133,133,133,0.28375,0.30359,0.17232,1,1,0.450
24.7940,328,BL,25,-0.00301,0.13699,0.29988,134,134,134,0.27878,0.05968,0.12828,1,1,0.450
24.7940,328,FR,17,0.32085,-0.13168,0.30024,134,134,134,0.27914,0.43669,-0.16281,1,1,0.450
24.7940,328,BR,10,-0.12743,-0.11973,0.30152,134,134,134,0.28042,-0.06487,-0.12862,1,1,0.450
24.8040,328,FL,2,0.20180,0.15044,0.30533,133,133,133,0.28421,0.30148,0.17135,1,1,0.450
24.8040,328,BL,25,-0.00377,0.13762,0.29987,134,134,134,0.27877,0.05888,0.12917,1,1,0.450
24.8040,328,FR,17,0.31990,-0.13154,0.30035,134,134,134,0.27925,0.43525,-0.16188,1,1,0.450
24.8040,328,BR,10,-0.12858,-0.12031,0.30160,134,134,134,0.28049,-0.06597,-0.12798,1,1,0.450
24.8140,329,FL,1,0.20183,0.15007,0.30555,133,133,133,0.28443,0.30325,0.17138,1,1,0.450
24.8140,329,BL,24,-0.00140,0.13826,0.29987,134,134,134,0.27876,0.05936,0.13065,1,1,0.450
24.8140,329,FR,16,0.32137,-0.13112,0.30037,134,134,134,0.27927,0.44203,-0.16178,1,1,0.450
24.8160,329,BR,9,-0.12787,-0.12008,0.30168,134,134,134,0.28058,-0.06367,-0.12713,1,1,0.450
24.8260,329,FL,1,0.20251,0.15007,0.30538,133,133,133,0.28426,0.30407,0.17198,1,1,0.450
24.8260,329,BL,24,-0.00071,0.13858,0.29985,134,134,134,0.27875,0.06304,0.13079,1,1,0.450
24.8260,329,FR,16,0.32213,-0.13000,0.30039,134,134,134,0.27928,0.44323,-0.16082,1,1,0.450
24.8260,329,BR,9,-0.12736,-0.11869,0.30174,134,134,134,0.28063,-0.06375,-0.12552,1,1,0.450
24.8360,329,FL,1,0.20078,0.14900,0.30593,132,132,132,0.28481,0.30235,0.17068,1,1,0.450
24.8360,329,BL,24,0.00063,0.13946,0.29981,134,134,134,0.27871,0.06631,0.13193,1,1,0.450
24.8360,329,FR,16,0.32236,-0.12978,0.30049,134,134,134,0.27939,0.44542,-0.15957,1,1,0.450
24.8360,329,BR,9,-0.12839,-0.11940,0.30155,134,134,134,0.28045,-0.06215,-0.12450,1,1,0.450
24.8460,330,FL,30,0.44726,0.14852,0.30000,134,134,134,0.27890,0.54191,0.15912,1,1,0.450
24.8460,330,BL,23,0.00255,0.14092,0.29981,134,134,134,0.27871,0.06424,0.13420,1,1,0.450
24.8460,330,FR,15,0.32430,-0.12852,0.30051,134,134,134,0.27941,0.44642,-0.15841,1,1,0.450
24.8460,330,BR,8,-0.12592,-0.11780,0.30174,134,134,134,0.28063,-0.06072,-0.12272,1,1,0.450
24.8660,330,FL,30,0.44996,0.14933,0.30000,134,134,134,0.27890,0.55659,0.16071,1,1,0.450
24.8660,330,BL,23,0.00470,0.14164,0.29982,134,134,134,0.27872,0.07305,0.13497,1,1,0.450
24.8660,330,FR,15,0.32590,-0.12726,0.30054,134,134,134,0.27943,0.44930,-0.15735,1,1,0.450
24.8660,330,BR,8,-0.12529,-0.11645,0.30157,134,134,134,0.28047,-0.05876,-0.12048,1,1,0.450
24.8740,331,FL,29,0.45378,0.15172,0.30002,134,134,134,0.27891,0.55718,0.16337,1,1,0.450
24.8740,331,BL,22,0.00781,0.14439,0.29980,134,134,134,0.27870,0.07374,0.13886,1,1,0.450
24.8740,331,FR,14,0.32737,-0.12598,0.30063,134,134,134,0.27952,0.45327,-0.15425,1,1,0.450
24.8740,331,BR,7,-0.12543,-0.11647,0.30191,134,134,134,0.28080,-0.05595,-0.11801,1,1,0.450
24.8840,331,FL,29,0.45498,0.15232,0.30001,134,134,134,0.27891,0.56615,0.16435,1,1,0.450
24.8840,331,BL,22,0.00882,0.14457,0.29977,134,134,134,0.27867,0.07940,0.13946,1,1,0.450
24.8840,331,FR,14,0.32796,-0.12567,0.30057,134,134,134,0.27947,0.45469,-0.15359,1,1,0.450
24.8860,331,BR,7,-0.12549,-0.11611,0.30161,134,134,134,0.28051,-0.05593,-0.11702,1,1,0.450
24.8940,331,FL,29,0.45740,0.15322,0.30003,134,134,134,0.27893,0.56953,0.16505,1,1,0.450
24.8940,331,BL,22,0.01066,0.14568,0.29974,134,134,134,0.27864,0.08277,0.14091,1,1,0.450
24.8940,331,FR,14,0.32879,-0.12529,0.30068,134,134,134,0.27958,0.45704,-0.15242,1,1,0.450
24.8940,331,BR,7,-0.12534,-0.11616,0.30168,134,134,134,0.28058,-0.05434,-0.11608,1,1,0.450
24.9040,332,FL,28,0.45782,0.15402,0.30004,134,134,134,0.27894,0.56503,0.16643,1,1,0.450
24.9040,332,BL,21,0.01104,0.14660,0.29973,134,134,134,0.27863,0.07845,0.14279,1,1,0.450
24.9040,332,FR,13,0.32891,-0.12487,0.30066,134,134,134,0.27955,0.45703,-0.15147,1,1,0.450
24.9040,332,BR,6,-0.12533,-0.11598,0.30151,134,134,134,0.28041,-0.05451,-0.11513,1,1,0.450
24.9140,332,FL,28,0.45977,0.15435,0.30001,134,134,134,0.27891,0.57492,0.16717,1,1,0.450
24.9140,332,BL,21,0.01241,0.14654,0.29972,134,134,134,0.27862,0.08504,0.14292,1,1,0.450
24.9140,332,FR,13,0.32962,-0.12466,0.30061,134,134,134,0.27951,0.45950,-0.15117,1,1,0.450
24.9140,332,BR,6,-0.12536,-0.11567,0.30142,134,134,134,0.28032,-0.05352,-0.11438,1,1,0.450
24.9240,332,FL,28,0.45996,0.15512,0.30004,134,134,134,0.27894,0.57467,0.16780,1,1,0.450
24.9240,332,BL,21,0.01250,0.14753,0.29971,134,134,134,0.27861,0.08526,0.14414,1,1,0.450
24.9240,332,FR,13,0.32941,-0.12421,0.30081,134,134,134,0.27970,0.45910,-0.15022,1,1,0.450
24.9240,332,BR,6,-0.12546,-0.11548,0.30181,134,134,134,0.28070,-0.05397,-0.11352,1,1,0.450
24.9340,333,FL,27,0.46086,0.15569,0.30005,134,134,134,0.27894,0.57172,0.16904,1,1,0.450
24.9340,333,BL,20,0.01302,0.14817,0.29974,134,134,134,0.27864,0.08188,0.14570,1,1,0.450
24.9340,333,FR,12,0.32942,-0.12385,0.30092,134,134,134,0.27982,0.46000,-0.14958,1,1,0.450
24.9340,333,BR,5,-0.12581,-0.11526,0.30221,134,134,134,0.28110,-0.05354,-0.11264,1,1,0.450
24.9420,333,FL,27,0.46141,0.15601,0.30001,134,134,134,0.27891,0.57836,0.16980,1,1,0.450
24.9420,333,BL,20,0.01336,0.14817,0.29973,134,134,134,0.27863,0.08608,0.14593,1,1,0.450
24.9420,333,FR,12,0.32960,-0.12363,0.30094,134,134,134,0.27984,0.46047,-0.14937,1,1,0.450
24.9440,333,BR,5,-0.12574,-0.11469,0.30230,134,134,134,0.28119,-0.05391,-0.11187,1,1,0.450
