time,map_stamp,frame,leg,touchdown_index,touchdown_time,nominal_x,nominal_y,nominal_traversability,selected_x,selected_y,selected_z,selected_z_raw,selected_z_inpainted,selected_hole_mask_recon,selected_observed,selected_binary_safe,snap_distance,hip_distance,foothold_status
18.9280,0,map,FL,30,19.8000,0.21954,0.14149,1.00000,0.21954,0.14149,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01041,0
18.9280,0,map,BL,23,19.5900,-0.17499,0.14212,1.00000,-0.17499,0.14212,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01184,0
18.9280,0,map,FR,15,19.3500,0.20366,-0.14249,1.00000,0.20366,-0.14249,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01214,0
18.9280,0,map,BR,8,19.1400,-0.19058,-0.14185,1.00000,-0.19058,-0.14185,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01151,0
18.9280,0,map,BR,38,20.0400,-0.15723,-0.14191,1.00000,-0.15723,-0.14191,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.00817,0
19.0480,0,map,FL,26,19.8000,0.08604,0.15421,1.00000,0.08604,0.15421,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03648,0
19.0480,0,map,BL,19,19.5900,-0.22516,0.08865,1.00000,-0.22516,0.08865,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.09914,0
19.0480,0,map,FR,11,19.3500,0.11125,-0.17484,1.00000,0.11125,-0.17484,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06931,0
19.0480,0,map,BR,4,19.1400,-0.00402,-0.18336,1.00000,-0.00402,-0.18336,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.13196,0
19.0480,0,map,BR,34,20.0400,-0.22512,-0.20938,1.00000,-0.22512,-0.20938,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02634,0
19.0840,0,map,FL,24,19.8000,0.28163,0.14936,1.00000,0.28163,0.14936,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02305,0
19.0840,0,map,BL,17,19.5900,-0.16402,0.13788,1.00000,-0.16402,0.13788,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03158,0
19.0840,0,map,FR,9,19.3500,0.25894,-0.16156,1.00000,0.25894,-0.16156,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03412,0
19.0840,0,map,FR,39,20.2500,0.34723,-0.17650,1.00000,0.34723,-0.17650,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04159,0
19.0840,0,map,BR,2,19.1400,-0.20355,-0.15307,1.00000,-0.20355,-0.15307,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02769,0
19.0840,0,map,BR,32,20.0400,-0.09312,-0.15667,1.00000,-0.09312,-0.15667,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02923,0
19.1000,0,map,FL,24,19.8000,0.31792,0.15823,1.00000,0.31792,0.15823,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03745,0
19.1000,0,map,BL,17,19.5900,-0.14732,0.13108,1.00000,-0.14732,0.13108,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03068,0
19.1000,0,map,FR,9,19.3500,0.27279,-0.17132,1.00000,0.27279,-0.17132,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04061,0
19.1000,0,map,FR,39,20.2500,0.36356,-0.17607,1.00000,0.36356,-0.17607,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03554,0
19.1000,0,map,BR,2,19.1400,-0.20435,-0.14403,1.00000,-0.20435,-0.14403,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03621,0
19.1000,0,map,BR,32,20.0400,-0.07868,-0.15578,1.00000,-0.07868,-0.15578,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03289,0
19.1120,0,map,FL,23,19.8000,0.33425,0.15835,1.00000,0.33425,0.15835,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03919,0
19.1120,0,map,BL,16,19.5900,-0.13280,0.13067,1.00000,-0.13280,0.13067,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03388,0
19.1120,0,map,FR,8,19.3500,0.28413,-0.17209,1.00000,0.28413,-0.17209,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04432,0
19.1120,0,map,FR,38,20.2500,0.38919,-0.17723,1.00000,0.38919,-0.17723,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03928,0
19.1120,0,map,BR,1,19.1400,-0.19832,-0.14383,1.00000,-0.19832,-0.14383,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03877,0
19.1120,0,map,BR,31,20.0400,-0.05695,-0.15378,1.00000,-0.05695,-0.15378,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03522,0
19.1320,0,map,FL,23,19.8000,0.34876,0.16323,1.00000,0.34876,0.16323,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04165,0
19.1320,0,map,BL,16,19.5900,-0.12043,0.13040,1.00000,-0.12043,0.13040,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03712,0
19.1320,0,map,FR,8,19.3500,0.29178,-0.17241,1.00000,0.29178,-0.17241,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04614,0
19.1320,0,map,FR,38,20.2500,0.39812,-0.15922,1.00000,0.39812,-0.15922,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02675,0
19.1320,0,map,BR,1,19.1400,-0.18895,-0.13851,1.00000,-0.18895,-0.13851,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03845,0
19.1320,0,map,BR,31,20.0400,-0.04687,-0.14144,1.00000,-0.04687,-0.14144,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03033,0
19.1440,0,map,FL,22,19.8000,0.36133,0.15858,1.00000,0.36133,0.15858,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04265,0
19.1440,0,map,BL,15,19.5900,-0.10924,0.13191,1.00000,-0.10924,0.13191,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04004,0
19.1440,0,map,FR,7,19.3500,0.29508,-0.17228,1.00000,0.29508,-0.17228,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04746,0
19.1440,0,map,FR,37,20.2500,0.41665,-0.16746,1.00000,0.41665,-0.16746,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03210,0
19.1440,0,map,BR,30,20.0400,-0.03337,-0.14052,1.00000,-0.03337,-0.14052,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03409,0
19.1540,0,map,FL,22,19.8000,0.37573,0.16101,1.00000,0.37573,0.16101,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04711,0
19.1540,0,map,BL,15,19.5900,-0.09907,0.13322,1.00000,-0.09907,0.13322,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04275,0
19.1540,0,map,FR,7,19.3500,0.29798,-0.17226,1.00000,0.29798,-0.17226,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05100,0
19.1540,0,map,FR,37,20.2500,0.42957,-0.15883,1.00000,0.42957,-0.15883,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03096,0
19.1540,0,map,BR,30,20.0400,-0.02207,-0.13282,1.00000,-0.02207,-0.13282,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03487,0
19.1640,0,map,FL,22,19.8000,0.38746,0.15985,1.00000,0.38746,0.15985,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05007,0
19.1640,0,map,BL,15,19.5900,-0.08968,0.13446,1.00000,-0.08968,0.13446,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04527,0
19.1640,0,map,FR,7,19.3500,0.30124,-0.17164,1.00000,0.30124,-0.17164,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05394,0
19.1640,0,map,FR,37,20.2500,0.44675,-0.16133,1.00000,0.44675,-0.16133,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03542,0
19.1640,0,map,BR,30,20.0400,-0.00769,-0.13232,1.00000,-0.00769,-0.13232,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03870,0
19.1720,0,map,FL,21,19.8000,0.39451,0.15989,1.00000,0.39451,0.15989,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05099,0
19.1720,0,map,BL,14,19.5900,-0.08176,0.13579,1.00000,-0.08176,0.13579,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04785,0
19.1720,0,map,FR,6,19.3500,0.30402,-0.17225,1.00000,0.30402,-0.17225,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05699,0
19.1720,0,map,FR,36,20.2500,0.45808,-0.16103,1.00000,0.45808,-0.16103,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03604,0
19.1720,0,map,BR,29,20.0400,0.00194,-0.13184,1.00000,0.00194,-0.13184,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03900,0
19.1820,0,map,FL,21,19.8000,0.40619,0.16157,1.00000,0.40619,0.16157,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05612,0
19.1820,0,map,BL,14,19.5900,-0.07541,0.13612,1.00000,-0.07541,0.13612,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05060,0
19.1820,0,map,FR,6,19.3500,0.30609,-0.17381,1.00000,0.30609,-0.17381,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06011,0
19.1820,0,map,FR,36,20.2500,0.47143,-0.15677,1.00000,0.47143,-0.15677,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03938,0
19.1820,0,map,BR,29,20.0400,0.01247,-0.12731,1.00000,0.01247,-0.12731,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04277,0
19.1920,0,map,FL,21,19.8000,0.41333,0.16049,1.00000,0.41333,0.16049,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05832,0
19.1920,0,map,BL,14,19.5900,-0.07019,0.13688,1.00000,-0.07019,0.13688,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05306,0
19.1920,0,map,FR,6,19.3500,0.30751,-0.17363,1.00000,0.30751,-0.17363,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06206,0
19.1920,0,map,FR,36,20.2500,0.48235,-0.15839,1.00000,0.48235,-0.15839,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04230,0
19.1920,0,map,BR,29,20.0400,0.02183,-0.12698,1.00000,0.02183,-0.12698,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04544,0
19.2000,0,map,FL,20,19.8000,0.41658,0.15978,1.00000,0.41658,0.15978,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05828,0
19.2000,0,map,BL,13,19.5900,-0.06576,0.13750,1.00000,-0.06576,0.13750,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05541,0
19.2000,0,map,FR,5,19.3500,0.30788,-0.17357,1.00000,0.30788,-0.17357,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06393,0
19.2000,0,map,FR,35,20.2500,0.48870,-0.15908,1.00000,0.48870,-0.15908,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04200,0
19.2000,0,map,BR,28,20.0400,0.02689,-0.12723,1.00000,0.02689,-0.12723,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04494,0
19.2100,0,map,FL,20,19.8000,0.42610,0.16051,1.00000,0.42610,0.16051,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06347,0
19.2100,0,map,BL,13,19.5900,-0.06228,0.13750,1.00000,-0.06228,0.13750,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05774,0
19.2100,0,map,FR,5,19.3500,0.30825,-0.17457,1.00000,0.30825,-0.17457,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06588,0
19.2100,0,map,FR,35,20.2500,0.50009,-0.15754,1.00000,0.50009,-0.15754,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04682,0
19.2100,0,map,BR,28,20.0400,0.03555,-0.12457,1.00000,0.03555,-0.12457,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04974,0
19.2200,0,map,FL,20,19.8000,0.43062,0.15969,1.00000,0.43062,0.15969,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06520,0
19.2200,0,map,BL,13,19.5900,-0.05915,0.13787,1.00000,-0.05915,0.13787,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05971,0
19.2200,0,map,FR,5,19.3500,0.30845,-0.17456,1.00000,0.30845,-0.17456,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06730,0
19.2200,0,map,FR,35,20.2500,0.50744,-0.15857,1.00000,0.50744,-0.15857,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04888,0
19.2200,0,map,BR,28,20.0400,0.04203,-0.12463,1.00000,0.04203,-0.12463,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05163,0
19.2300,0,map,FL,19,19.8000,0.43142,0.15884,1.00000,0.43142,0.15884,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06430,0
19.2300,0,map,BL,12,19.5900,-0.05666,0.13814,1.00000,-0.05666,0.13814,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06153,0
19.2300,0,map,FR,4,19.3500,0.30835,-0.17423,1.00000,0.30835,-0.17423,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06839,0
19.2300,0,map,FR,34,20.2500,0.51060,-0.15940,1.00000,0.51060,-0.15940,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04774,0
19.2300,0,map,BR,27,20.0400,0.04424,-0.12516,1.00000,0.04424,-0.12516,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05034,0
19.2400,0,map,FL,19,19.8000,0.43998,0.15925,1.00000,0.43998,0.15925,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06972,0
19.2400,0,map,BL,12,19.5900,-0.05433,0.13776,1.00000,-0.05433,0.13776,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06307,0
19.2400,0,map,FR,4,19.3500,0.30836,-0.17434,1.00000,0.30836,-0.17434,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06965,0
19.2400,0,map,FR,34,20.2500,0.52110,-0.15897,1.00000,0.52110,-0.15897,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05340,0
19.2400,0,map,BR,27,20.0400,0.05212,-0.12352,1.00000,0.05212,-0.12352,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05527,0
19.2480,0,map,FL,19,19.8000,0.43732,0.15882,1.00000,0.43732,0.15882,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06927,0
19.2480,0,map,BL,12,19.5900,-0.05700,0.13803,1.00000,-0.05700,0.13803,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06344,0
19.2480,0,map,FR,4,19.3500,0.30469,-0.17345,1.00000,0.30469,-0.17345,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06875,0
19.2480,0,map,FR,34,20.2500,0.51833,-0.15922,1.00000,0.51833,-0.15922,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05305,0
19.2480,0,map,BR,27,20.0400,0.04997,-0.12364,1.00000,0.04997,-0.12364,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05536,0
19.2580,0,map,FL,19,19.8000,0.44164,0.15849,1.00000,0.44164,0.15849,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.07097,0
19.2580,0,map,BL,12,19.5900,-0.05418,0.13797,1.00000,-0.05418,0.13797,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06477,0
