time,map_stamp,frame,leg,touchdown_index,touchdown_time,nominal_x,nominal_y,nominal_traversability,selected_x,selected_y,selected_z,selected_z_raw,selected_z_inpainted,selected_hole_mask_recon,selected_observed,selected_binary_safe,snap_distance,hip_distance,foothold_status
21.0020,0,map,FL,1,6.3000,0.18443,0.14151,1.00000,0.18443,0.14151,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01375,0
21.0020,0,map,FL,31,7.2000,0.22021,0.14147,1.00000,0.22021,0.14147,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01014,0
21.0020,0,map,BL,24,6.9900,-0.17438,0.14192,1.00000,-0.17438,0.14192,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01162,0
21.0020,0,map,FR,16,6.7500,0.20423,-0.14251,1.00000,0.20423,-0.14251,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01218,0
21.0020,0,map,BR,9,6.5400,-0.19014,-0.14206,1.00000,-0.19014,-0.14206,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.01201,0
21.0020,0,map,BR,39,7.4400,-0.15428,-0.14210,1.00000,-0.15428,-0.14210,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.00745,0
21.1180,0,map,FL,27,7.2000,-0.04029,0.29680,1.00000,-0.04029,0.29680,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.16295,0
21.1180,0,map,BL,20,6.9900,-0.20092,0.15213,1.00000,-0.20092,0.15213,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.18155,0
21.1180,0,map,FR,12,6.7500,0.06521,-0.01968,1.00000,0.06521,-0.01968,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.12547,0
21.1180,0,map,BR,5,6.5400,0.00641,-0.05075,1.00000,0.00641,-0.05075,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.17746,0
21.1180,0,map,BR,35,7.4400,-0.16776,-0.03173,1.00000,-0.16776,-0.03173,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.06969,0
21.1760,0,map,FL,25,7.2000,0.28156,0.14643,1.00000,0.28156,0.14643,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02078,0
21.1760,0,map,BL,18,6.9900,-0.13792,0.12815,1.00000,-0.13792,0.12815,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.00870,0
21.1760,0,map,FR,10,6.7500,0.23583,-0.15099,1.00000,0.23583,-0.15099,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02587,0
21.1760,0,map,BR,3,6.5400,-0.21660,-0.13110,1.00000,-0.21660,-0.13110,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03981,0
21.1760,0,map,BR,33,7.4400,-0.08871,-0.15769,1.00000,-0.08871,-0.15769,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.02885,0
21.1880,0,map,FL,25,7.2000,0.31998,0.15598,1.00000,0.31998,0.15598,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03706,0
21.1880,0,map,BL,18,6.9900,-0.14637,0.13189,1.00000,-0.14637,0.13189,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03141,0
21.1880,0,map,FR,10,6.7500,0.27519,-0.17151,1.00000,0.27519,-0.17151,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04200,0
21.1880,0,map,BR,3,6.5400,-0.20704,-0.14333,1.00000,-0.20704,-0.14333,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03842,0
21.1880,0,map,BR,33,7.4400,-0.07660,-0.15697,1.00000,-0.07660,-0.15697,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03302,0
21.1960,0,map,FL,24,7.2000,0.33560,0.15738,1.00000,0.33560,0.15738,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03873,0
21.1960,0,map,BL,17,6.9900,-0.12888,0.13019,1.00000,-0.12888,0.13019,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03277,0
21.1960,0,map,FR,9,6.7500,0.28616,-0.17092,1.00000,0.28616,-0.17092,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04654,0
21.1960,0,map,FR,39,7.6500,0.38783,-0.17641,1.00000,0.38783,-0.17641,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04034,0
21.1960,0,map,BR,2,6.5400,-0.20357,-0.14346,1.00000,-0.20357,-0.14346,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04390,0
21.1960,0,map,BR,32,7.4400,-0.05453,-0.15479,1.00000,-0.05453,-0.15479,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03487,0
21.2060,0,map,FL,24,7.2000,0.35696,0.15732,1.00000,0.35696,0.15732,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04463,0
21.2060,0,map,BL,17,6.9900,-0.11520,0.13080,1.00000,-0.11520,0.13080,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03539,0
21.2060,0,map,FR,9,6.7500,0.29545,-0.17232,1.00000,0.29545,-0.17232,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04974,0
21.2060,0,map,FR,39,7.6500,0.41980,-0.17856,1.00000,0.41980,-0.17856,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04742,0
21.2060,0,map,BR,2,6.5400,-0.19698,-0.14503,1.00000,-0.19698,-0.14503,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04610,0
21.2060,0,map,BR,32,7.4400,-0.03017,-0.15507,1.00000,-0.03017,-0.15507,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04235,0
21.2180,0,map,FL,24,7.2000,0.37187,0.15609,1.00000,0.37187,0.15609,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04702,0
21.2180,0,map,BL,17,6.9900,-0.10395,0.13035,1.00000,-0.10395,0.13035,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.03926,0
21.2180,0,map,FR,9,6.7500,0.30261,-0.17005,1.00000,0.30261,-0.17005,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05006,0
21.2180,0,map,FR,39,7.6500,0.44101,-0.17780,1.00000,0.44101,-0.17780,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.05128,0
21.2180,0,map,BR,2,6.5400,-0.18073,-0.12886,1.00000,-0.18073,-0.12886,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04279,0
21.2180,0,map,BR,32,7.4400,-0.01103,-0.15439,1.00000,-0.01103,-0.15439,0.02200,0.00000,0.00000,1.00000,1,1,0.00000,0.04586,0
