time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
27.4680,222,FL,18,0.20026,0.14149,0.30057,134,134,134,0.27946,0.20599,0.14149,1,1,0.450
27.4680,222,BL,11,-0.19375,0.14200,0.30281,134,134,134,0.28170,-0.18812,0.14200,1,1,0.450
27.4680,222,FR,3,0.18591,-0.14249,0.31258,131,131,131,0.29144,0.18803,-0.14249,1,1,0.450
27.4680,222,BR,26,-0.17941,-0.14202,0.30008,134,134,134,0.27898,-0.17236,-0.14203,1,1,0.450
27.5260,224,FL,16,0.20453,0.13148,0.30131,134,134,134,0.28021,0.24769,0.16107,1,1,0.450
27.5280,224,BL,9,-0.18913,0.12009,0.30979,131,131,131,0.28866,-0.20701,0.13078,1,1,0.450
27.5280,224,FR,1,0.18767,-0.14479,0.31554,130,130,130,0.29439,0.20980,-0.16335,1,1,0.450
27.5280,224,BR,24,-0.15671,-0.13424,0.30053,134,134,134,0.27943,-0.16797,-0.13499,1,1,0.450
27.5440,225,FL,15,0.21400,0.14218,0.29944,134,134,134,0.27834,0.27929,0.16306,1,1,0.450
27.5440,225,BL,8,-0.20424,0.13682,0.30067,134,134,134,0.27957,-0.20162,0.13507,1,1,0.450
27.5440,225,FR,30,0.25760,-0.14139,0.29986,134,134,134,0.27876,0.28806,-0.15087,1,1,0.450
27.5440,225,BR,23,-0.14758,-0.13337,0.29982,134,134,134,0.27872,-0.15267,-0.12755,1,1,0.450
27.5720,226,FL,14,0.21234,0.14985,0.29896,134,134,134,0.27786,0.29934,0.16340,1,1,0.450
27.5720,226,BL,7,-0.21292,0.14654,0.29853,134,134,134,0.27744,-0.20714,0.14733,1,1,0.450
27.5720,226,FR,29,0.27561,-0.14066,0.29989,134,134,134,0.27879,0.32378,-0.15480,1,1,0.450
27.5720,226,BR,22,-0.13554,-0.13005,0.29943,134,134,134,0.27833,-0.12475,-0.12995,1,1,0.450
27.5920,227,FL,13,0.21225,0.15460,0.29904,134,134,134,0.27794,0.31219,0.16363,1,1,0.450
27.5920,227,BL,6,-0.21583,0.15191,0.29800,134,134,134,0.27690,-0.20928,0.15769,1,1,0.450
27.5920,227,FR,28,0.28968,-0.14081,0.29997,134,134,134,0.27886,0.34851,-0.15615,1,1,0.450
27.5920,227,BR,21,-0.12707,-0.12797,0.29910,134,134,134,0.27800,-0.10481,-0.13231,1,1,0.450
27.6040,227,FL,13,0.21268,0.15886,0.29897,134,134,134,0.27787,0.32252,0.16423,1,1,0.450
