time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,527
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,584
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,541
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,969
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,940
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,592
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,1097
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,572
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,560
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,538
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,576
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,545
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,562
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,548
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,525
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,982
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,527
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,590
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,592
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,561
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,960
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,607
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,596
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,1008
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,645
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,606
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,603
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,752
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,553
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,616
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,570
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,667
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,984
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,1029
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,577
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,1086
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,555
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,972
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,630
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,558
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,548
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,602
0.0000,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,772
15.5600,518,FEASIBLE_TO_RANGE,-1,-,32,-0.1230,2.50,711
15.6060,520,FEASIBLE_TO_RANGE,-1,-,32,-0.1224,2.50,574
15.6600,522,FEASIBLE_TO_RANGE,-1,-,32,-0.1202,2.50,1122
15.7140,523,FEASIBLE_TO_RANGE,-1,-,32,-0.1170,2.50,536
15.7580,525,FEASIBLE_TO_RANGE,-1,-,32,-0.1140,2.50,570
15.8060,526,FEASIBLE_TO_RANGE,-1,-,32,-0.1111,2.50,546
15.8600,528,FEASIBLE_TO_RANGE,-1,-,32,-0.1079,2.50,658
15.9120,530,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,574
15.9620,532,FEASIBLE_TO_RANGE,-1,-,32,-0.1038,2.50,578
16.0100,533,FEASIBLE_TO_RANGE,-1,-,32,-0.1027,2.50,526
16.0560,535,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,537
16.1040,536,FEASIBLE_TO_RANGE,-1,-,32,-0.1016,2.50,606
16.1520,538,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,526
16.1980,539,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,584
16.2480,541,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,590
16.3040,543,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,537
16.3500,545,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,680
16.4040,546,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,753
16.4520,548,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,534
16.5000,550,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,585
16.5540,551,FEASIBLE_TO_RANGE,-1,-,32,-0.1014,2.50,559
16.6020,553,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,580
16.6500,555,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,528
16.6960,556,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,597
16.7480,558,FEASIBLE_TO_RANGE,-1,-,32,-0.1016,2.50,549
16.7960,559,FEASIBLE_TO_RANGE,-1,-,32,-0.1016,2.50,534
16.8420,561,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,526
16.8880,562,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,528
16.9340,564,FEASIBLE_TO_RANGE,-1,-,32,-0.1018,2.50,573
16.9840,566,FEASIBLE_TO_RANGE,-1,-,32,-0.1019,2.50,535
17.0420,568,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,972
17.0940,569,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,577
17.1500,571,FEASIBLE_TO_RANGE,-1,-,32,-0.1021,2.50,547
17.2000,573,FEASIBLE_TO_RANGE,-1,-,32,-0.1022,2.50,641
17.2500,575,FEASIBLE_TO_RANGE,-1,-,32,-0.1023,2.50,539
17.2980,576,FEASIBLE_TO_RANGE,-1,-,32,-0.1024,2.50,535
17.3440,578,FEASIBLE_TO_RANGE,-1,-,32,-0.1025,2.50,605
17.3960,579,FEASIBLE_TO_RANGE,-1,-,32,-0.1026,2.50,608
17.4460,581,FEASIBLE_TO_RANGE,-1,-,32,-0.1026,2.50,535
17.4920,583,FEASIBLE_TO_RANGE,-1,-,32,-0.1027,2.50,579
17.5400,584,FEASIBLE_TO_RANGE,-1,-,32,-0.1029,2.50,580
17.5880,586,FEASIBLE_TO_RANGE,-1,-,32,-0.1029,2.50,525
17.6340,587,FEASIBLE_TO_RANGE,-1,-,32,-0.1031,2.50,576
17.6820,589,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,529
17.7320,591,FEASIBLE_TO_RANGE,-1,-,32,-0.1033,2.50,534
17.7800,592,FEASIBLE_TO_RANGE,-1,-,32,-0.1034,2.50,529
17.8320,594,FEASIBLE_TO_RANGE,-1,-,32,-0.1035,2.50,996
17.8840,596,FEASIBLE_TO_RANGE,-1,-,32,-0.1036,2.50,576
17.9320,597,FEASIBLE_TO_RANGE,-1,-,32,-0.1037,2.50,570
17.9820,599,FEASIBLE_TO_RANGE,-1,-,32,-0.1038,2.50,610
18.0420,601,FEASIBLE_TO_RANGE,-1,-,32,-0.1039,2.50,986
18.0920,603,FEASIBLE_TO_RANGE,-1,-,32,-0.1039,2.50,542
18.1520,605,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,546
18.2000,606,FEASIBLE_TO_RANGE,-1,-,32,-0.1041,2.50,538
18.2480,608,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,535
18.2940,609,FEASIBLE_TO_RANGE,-1,-,32,-0.1043,2.50,527
18.3420,611,FEASIBLE_TO_RANGE,-1,-,32,-0.1044,2.50,533
18.3900,613,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,531
18.4380,614,FEASIBLE_TO_RANGE,-1,-,32,-0.1046,2.50,538
18.4860,616,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,531
18.5340,617,FEASIBLE_TO_RANGE,-1,-,32,-0.1048,2.50,578
18.5840,619,FEASIBLE_TO_RANGE,-1,-,32,-0.1049,2.50,567
18.6360,621,FEASIBLE_TO_RANGE,-1,-,32,-0.1050,2.50,557
18.6840,622,FEASIBLE_TO_RANGE,-1,-,32,-0.1051,2.50,526
18.7360,624,FEASIBLE_TO_RANGE,-1,-,32,-0.1052,2.50,589
18.7900,626,FEASIBLE_TO_RANGE,-1,-,32,-0.1052,2.50,537
18.8420,628,FEASIBLE_TO_RANGE,-1,-,32,-0.1053,2.50,534
18.8940,629,FEASIBLE_TO_RANGE,-1,-,32,-0.1054,2.50,528
18.9400,631,FEASIBLE_TO_RANGE,-1,-,32,-0.1054,2.50,615
18.9980,633,FEASIBLE_TO_RANGE,-1,-,32,-0.1055,2.50,643
19.0440,634,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,573
19.0920,636,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,588
19.1420,638,FEASIBLE_TO_RANGE,-1,-,32,-0.1057,2.50,577
19.1920,639,FEASIBLE_TO_RANGE,-1,-,32,-0.1058,2.50,746
19.2400,641,FEASIBLE_TO_RANGE,-1,-,32,-0.1059,2.50,560
19.2880,642,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,567
19.3360,644,FEASIBLE_TO_RANGE,-1,-,32,-0.1060,2.50,583
19.3880,646,FEASIBLE_TO_RANGE,-1,-,32,-0.1061,2.50,540
19.4400,648,FEASIBLE_TO_RANGE,-1,-,32,-0.1062,2.50,648
19.4860,649,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,556
19.5320,651,FEASIBLE_TO_RANGE,-1,-,32,-0.1063,2.50,572
19.5780,652,FEASIBLE_TO_RANGE,-1,-,32,-0.1064,2.50,589
19.6260,654,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,533
19.6700,655,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,579
19.7200,657,FEASIBLE_TO_RANGE,-1,-,32,-0.1066,2.50,568
19.7740,659,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,622
19.8280,660,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,540
19.8780,662,FEASIBLE_TO_RANGE,-1,-,32,-0.1067,2.50,533
19.9340,664,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,536
19.9860,666,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,576
20.0340,667,FEASIBLE_TO_RANGE,-1,-,32,-0.1068,2.50,525
20.0820,669,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,527
20.1360,671,FEASIBLE_TO_RANGE,-1,-,32,-0.1069,2.50,533
20.1860,672,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,581
20.2420,674,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,576
20.2960,676,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,637
20.3640,678,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,604
20.4100,680,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,586
20.4620,682,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,724
20.5100,683,FEASIBLE_TO_RANGE,-1,-,32,-0.1070,2.50,578
20.5600,685,FEASIBLE_TO_RANGE,-1,-,32,-0.1071,2.50,532
20.6060,686,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,536
20.6520,688,FEASIBLE_TO_RANGE,-1,-,32,-0.1072,2.50,550
20.7040,690,FEASIBLE_TO_RANGE,-1,-,32,-0.1073,2.50,541
20.7520,691,FEASIBLE_TO_RANGE,-1,-,32,-0.1074,2.50,586
20.8000,693,FEASIBLE_TO_RANGE,-1,-,32,-0.1074,2.50,565
20.8600,695,FEASIBLE_TO_RANGE,-1,-,32,-0.1074,2.50,550
20.9060,696,FEASIBLE_TO_RANGE,-1,-,32,-0.1075,2.50,632
20.9560,698,FEASIBLE_TO_RANGE,-1,-,32,-0.1075,2.50,579
21.0040,700,FEASIBLE_TO_RANGE,-1,-,32,-0.1075,2.50,624
21.0520,701,FEASIBLE_TO_RANGE,-1,-,32,-0.1076,2.50,594
21.1040,703,FEASIBLE_TO_RANGE,-1,-,32,-0.1076,2.50,557
21.1520,705,FEASIBLE_TO_RANGE,-1,-,32,-0.1077,2.50,528
21.2020,706,FEASIBLE_TO_RANGE,-1,-,32,0.1061,2.50,546
21.3060,710,FEASIBLE_TO_RANGE,-1,-,32,0.7422,2.50,601
21.3560,711,BLOCKED_AT_STEP_K,24,FL,24,0.7941,2.50,457
21.4240,714,FEASIBLE_TO_RANGE,-1,-,32,1.4103,2.50,779
21.4900,716,BLOCKED_AT_STEP_K,18,FR,18,0.7695,2.50,559
21.5480,718,FEASIBLE_TO_RANGE,-1,-,32,1.6503,2.50,573
21.6000,720,FEASIBLE_TO_RANGE,-1,-,32,1.7434,2.50,557
21.6600,722,FEASIBLE_TO_RANGE,-1,-,32,1.8145,2.50,545
21.7100,723,FEASIBLE_TO_RANGE,-1,-,32,1.8636,2.50,829
21.7680,725,BLOCKED_AT_STEP_K,14,FR,14,0.7179,2.50,272
21.8200,727,BLOCKED_AT_STEP_K,12,FL,12,0.6400,2.50,243
21.8940,729,BLOCKED_AT_STEP_K,12,FL,12,0.6566,2.50,406
21.9560,731,BLOCKED_AT_STEP_K,12,FL,12,0.6561,2.50,428
22.0140,733,BLOCKED_AT_STEP_K,12,FL,12,0.6587,2.50,277
22.0860,736,BLOCKED_AT_STEP_K,12,FL,12,0.6471,2.50,216
22.1340,737,BLOCKED_AT_STEP_K,12,FL,12,0.6123,2.50,215
22.1840,739,BLOCKED_AT_STEP_K,12,FL,12,0.6244,2.50,214
22.2320,741,BLOCKED_AT_STEP_K,10,FR,10,0.5337,2.50,186
22.2920,743,BLOCKED_AT_STEP_K,10,FR,10,0.5355,2.50,194
22.3420,744,BLOCKED_AT_STEP_K,10,FR,10,0.5404,2.50,187
22.3960,746,BLOCKED_AT_STEP_K,12,FL,12,0.5735,2.50,254
22.4520,748,BLOCKED_AT_STEP_K,10,FR,10,0.5441,2.50,181
22.5080,750,BLOCKED_AT_STEP_K,10,FR,10,0.5248,2.50,191
22.5660,752,BLOCKED_AT_STEP_K,12,FL,12,0.5101,2.50,219
22.6160,753,BLOCKED_AT_STEP_K,10,FR,10,0.4865,2.50,176
22.6680,755,BLOCKED_AT_STEP_K,8,FL,8,0.4128,2.50,162
22.7300,757,BLOCKED_AT_STEP_K,8,FL,8,0.4136,2.50,148
22.7820,759,BLOCKED_AT_STEP_K,8,FL,8,0.4150,2.50,148
22.8320,761,BLOCKED_AT_STEP_K,8,FL,8,0.4041,2.50,149
22.8820,762,BLOCKED_AT_STEP_K,8,FL,8,0.4080,2.50,154
22.9320,764,BLOCKED_AT_STEP_K,8,FL,8,0.4114,2.50,150
22.9900,766,BLOCKED_AT_STEP_K,10,FR,10,0.3943,2.50,164
23.0400,768,BLOCKED_AT_STEP_K,8,FL,8,0.3538,2.50,142
23.0940,769,BLOCKED_AT_STEP_K,8,FL,8,0.3593,2.50,140
23.1580,771,BLOCKED_AT_STEP_K,6,FR,6,0.2770,2.50,137
23.2260,774,BLOCKED_AT_STEP_K,6,FR,6,0.2756,2.50,113
23.2900,776,BLOCKED_AT_STEP_K,6,FR,6,0.2723,2.50,210
23.3580,778,BLOCKED_AT_STEP_K,6,FR,6,0.2752,2.50,221
23.4300,781,BLOCKED_AT_STEP_K,6,FR,6,0.2671,2.50,196
23.5020,783,BLOCKED_AT_STEP_K,11,BL,11,0.9797,2.50,182
23.5600,785,BLOCKED_AT_STEP_K,4,FL,4,0.1472,2.50,86
23.6220,787,BLOCKED_AT_STEP_K,4,FL,4,0.1405,2.50,81
23.6940,789,BLOCKED_AT_STEP_K,4,FL,4,0.1441,2.50,81
23.7420,791,BLOCKED_AT_STEP_K,11,BL,11,0.9956,2.50,202
23.7940,793,BLOCKED_AT_STEP_K,4,FL,4,0.1400,2.50,148
23.8500,795,BLOCKED_AT_STEP_K,4,FL,4,0.1392,2.50,116
23.9140,797,BLOCKED_AT_STEP_K,11,BL,11,0.9807,2.50,274
23.9680,798,BLOCKED_AT_STEP_K,9,BR,9,0.8568,2.50,174
24.0280,800,BLOCKED_AT_STEP_K,9,BR,9,0.8592,2.50,163
24.0960,803,BLOCKED_AT_STEP_K,9,BR,9,0.8586,2.50,160
24.1500,805,BLOCKED_AT_STEP_K,11,BL,11,0.9929,2.50,195
