time,current_plan_index,leg,touchdown_index,hip_x,hip_y,hip_z,n_in_reach,n_safe,n_valid,min_valid_reach_dist,sel_x,sel_y,sel_in_reach,sel_passes_all,ik_max_reach
21.8740,212,FL,28,0.20986,0.14148,0.30007,134,134,134,0.27896,0.21690,0.14147,1,1,0.450
21.8740,212,BL,21,-0.18333,0.14194,0.30014,134,134,134,0.27904,-0.17758,0.14194,1,1,0.450
21.8740,212,FR,13,0.19480,-0.14250,0.30111,134,134,134,0.28001,0.20161,-0.14251,1,1,0.450
21.8740,212,BR,6,-0.20033,-0.14204,0.30467,134,134,134,0.28356,-0.19324,-0.14204,1,1,0.450
21.9200,213,FL,27,0.22758,0.13794,0.29987,134,134,134,0.27877,0.27373,0.15545,1,1,0.450
21.9220,213,BL,20,-0.17489,0.12202,0.29942,134,134,134,0.27832,-0.18647,0.12981,1,1,0.450
21.9220,213,FR,12,0.18690,-0.15609,0.29918,134,134,134,0.27808,0.25676,-0.17230,1,1,0.450
21.9220,213,BR,5,-0.22444,-0.14505,0.29749,134,134,134,0.27639,-0.24322,-0.15062,1,1,0.450
21.9300,214,FL,26,0.24491,0.13694,0.30000,134,134,134,0.27890,0.29720,0.15674,1,1,0.450
21.9320,214,BL,19,-0.16298,0.12470,0.29920,134,134,134,0.27810,-0.16065,0.12820,1,1,0.450
21.9320,214,FR,11,0.19311,-0.15251,0.29940,134,134,134,0.27830,0.26470,-0.16939,1,1,0.450
21.9320,214,BR,4,-0.21720,-0.14427,0.29936,134,134,134,0.27826,-0.23184,-0.14946,1,1,0.450
21.9440,214,FL,26,0.26133,0.13628,0.29999,134,134,134,0.27888,0.32463,0.15623,1,1,0.450
21.9440,214,BL,19,-0.15182,0.12274,0.29921,134,134,134,0.27811,-0.14026,0.12773,1,1,0.450
21.9460,214,FR,11,0.20001,-0.15395,0.29941,134,134,134,0.27831,0.27899,-0.17160,1,1,0.450
21.9460,214,BR,4,-0.21429,-0.14410,0.29916,134,134,134,0.27806,-0.22090,-0.14974,1,1,0.450
21.9540,214,FL,26,0.27518,0.13642,0.30007,134,134,134,0.27897,0.34453,0.15625,1,1,0.450
21.9560,214,BL,19,-0.14203,0.12332,0.29925,134,134,134,0.27815,-0.12318,0.12805,1,1,0.450
21.9560,214,FR,11,0.20560,-0.15358,0.30028,134,134,134,0.27918,0.29019,-0.17121,1,1,0.450
21.9560,214,BR,4,-0.21168,-0.14387,0.30032,134,134,134,0.27921,-0.21252,-0.14928,1,1,0.450
21.9680,215,FL,25,0.28727,0.13649,0.30010,134,134,134,0.27900,0.36236,0.15722,1,1,0.450
21.9680,215,BL,18,-0.13403,0.12344,0.29933,134,134,134,0.27823,-0.10817,0.12929,1,1,0.450
21.9680,215,FR,10,0.20872,-0.15358,0.30065,134,134,134,0.27954,0.30284,-0.17108,1,1,0.450
21.9680,215,BR,3,-0.21144,-0.14387,0.30123,134,134,134,0.28013,-0.20509,-0.14948,1,1,0.450
21.9780,215,FL,25,0.28524,0.13586,0.30011,134,134,134,0.27900,0.36126,0.15702,1,1,0.450
21.9800,215,BL,18,-0.13667,0.12185,0.29933,134,134,134,0.27823,-0.11059,0.12898,1,1,0.450
21.9800,215,FR,10,0.20716,-0.15476,0.30121,134,134,134,0.28011,0.29666,-0.17256,1,1,0.450
21.9800,215,BR,3,-0.21095,-0.14390,0.30179,134,134,134,0.28068,-0.20868,-0.15047,1,1,0.450
21.9880,216,FL,24,0.29480,0.13594,0.30016,134,134,134,0.27906,0.37557,0.15818,1,1,0.450
21.9880,216,BL,17,-0.13056,0.12208,0.29942,134,134,134,0.27832,-0.09653,0.12889,1,1,0.450
21.9900,216,FR,9,0.20920,-0.15461,0.30162,134,134,134,0.28051,0.30674,-0.17221,1,1,0.450
21.9900,216,BR,2,-0.21114,-0.14374,0.30212,134,134,134,0.28101,-0.20411,-0.15070,1,1,0.450
