name,difficulty,gait,seed,simulated_duration_s,gif_playback_duration_s,gif_frame_count,net_distance_m,path_distance_m,fallen,fall_time_s,height_error_rmse_m,maximum_abs_roll_pitch_rad,planar_velocity_rmse_mps,maximum_abs_torque_nm,torque_saturation_fraction,maximum_dynamics_residual,contact_agreement,passed,failure_reasons,gif_path
H10_compound,hard,static_walk,310,19.999999999999794,20.0,200,3.086382605677461,5.245437360040863,True,0.8500000000000006,0.16335279184386825,3.1415689761072225,0.36533205966368265,33.5,0.11208333333333333,634.1307628035911,0.5105,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold; contact agreement below threshold,gifs/H10_compound.gif
N01_walk_016,normal,static_walk,201,19.999999999999794,20.0,200,1.7821532656857808,4.211342664334565,True,15.010000000001682,0.08754422083103747,3.1401465747206707,0.2771574837585069,33.5,0.12304166666666666,356.7151690013418,0.59975,False,fall detected; base height below threshold; roll/pitch exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold,gifs/N01_walk_016.gif
N02_walk_diagonal,normal,static_walk,202,19.999999999999794,20.0,200,1.3512794898966436,2.054023242210441,False,,0.012729204546759744,0.29585865161037506,0.1506677544257583,33.5,0.08316666666666667,69.4011480886686,0.676125,False,dynamics residual exceeds threshold,gifs/N02_walk_diagonal.gif
N03_walk_turn,normal,static_walk,203,19.999999999999794,20.0,200,2.068185153715904,6.791938142639316,True,1.1900000000000008,0.1470647629883524,3.1378258296213546,0.4317070555181858,33.5,0.10695833333333334,414.11243440026954,0.53975,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold; contact agreement below threshold,gifs/N03_walk_turn.gif
N04_dynamic_walk,normal,dynamic_walk,204,19.999999999999794,20.0,200,0.934722000140276,2.319657315951079,False,,0.014710173870081987,0.3567112880939239,0.19282576855421213,33.5,0.09658333333333333,183.7011403945314,0.634625,False,yaw-rate RMSE exceeds threshold; dynamics residual exceeds threshold,gifs/N04_dynamic_walk.gif
N05_standing_trot,normal,standing_trot,205,19.999999999999794,20.0,200,2.9298824585799546,7.3244731242085255,True,1.1900000000000008,0.134988601106288,3.141540596570077,0.43791860040041714,33.5,0.117,459.96513012736824,0.6115,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold,gifs/N05_standing_trot.gif
N06_trot,normal,trot,206,19.999999999999794,20.0,200,0.14744727101680663,4.732383422190708,True,4.4899999999997275,0.16275240528846877,3.133927211457651,0.29549737806572957,33.5,0.10079166666666667,426.4143977801905,0.520625,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold; contact agreement below threshold,gifs/N06_trot.gif
N07_walk_payload,normal,static_walk,207,19.999999999999794,20.0,200,1.2707008178170718,6.793254294924835,True,1.1800000000000008,0.13283246829050155,3.131710344680924,0.44579385442021097,33.5,0.11004166666666666,476.674241615212,0.578875,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold,gifs/N07_walk_payload.gif
N08_walk_push,normal,static_walk,208,19.999999999999794,20.0,200,3.396349315087727,6.530268277524069,True,1.400000000000001,0.15880109680780194,3.1413446038911452,0.40184971653799023,33.5,0.12654166666666666,422.36280162277325,0.53625,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold; contact agreement below threshold,gifs/N08_walk_push.gif
N09_walk_mu045,normal,static_walk,209,19.999999999999794,20.0,200,1.402521166020645,5.224961453947289,True,3.699999999999814,0.11906752428921895,3.1392137860014953,0.3124888516299376,33.5,0.09675,422.163930228149,0.561125,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; yaw-rate RMSE exceeds threshold; dynamics residual exceeds threshold,gifs/N09_walk_mu045.gif
N10_walk_low_turn_push,normal,static_walk,210,19.999999999999794,20.0,200,0.44078701796903175,8.011917313843243,True,1.1100000000000008,0.13482379070437103,3.141165381615522,0.4784912244370236,33.5,0.11733333333333333,400.41535321708085,0.509375,False,fall detected; base height below threshold; height RMSE exceeds threshold; roll/pitch exceeds threshold; planar velocity RMSE exceeds threshold; yaw-rate RMSE exceeds threshold; torque saturation fraction exceeds threshold; dynamics residual exceeds threshold; contact agreement below threshold,gifs/N10_walk_low_turn_push.gif
