time,current_plan_index,step_k,leg,x,y,hip_x,n_valid
14.7400,0,0,FL,0.25574,0.13155,0.18574,129
14.7400,0,1,BR,-0.13153,-0.15181,-0.20153,129
14.7400,0,2,FR,0.25527,-0.15245,0.18527,129
14.7400,0,3,BL,-0.13106,0.13219,-0.20106,129
14.7400,0,4,FL,0.25574,0.13155,0.18574,89
14.7400,0,5,BR,-0.13153,-0.15181,-0.20153,89
14.7400,0,6,FR,0.25527,-0.15245,0.18527,89
14.7400,0,7,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,8,FL,0.25574,0.13155,0.18574,89
14.7400,0,9,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,10,FR,0.25527,-0.15245,0.18527,89
14.7400,0,11,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,12,FL,0.25574,0.13155,0.18574,89
14.7400,0,13,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,14,FR,0.25527,-0.15245,0.18527,89
14.7400,0,15,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,16,FL,0.25574,0.13155,0.18574,89
14.7400,0,17,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,18,FR,0.25528,-0.15245,0.18528,89
14.7400,0,19,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,20,FL,0.25574,0.13155,0.18574,89
14.7400,0,21,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,22,FR,0.25528,-0.15245,0.18528,89
14.7400,0,23,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,24,FL,0.25574,0.13155,0.18574,89
14.7400,0,25,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,26,FR,0.25528,-0.15245,0.18528,89
14.7400,0,27,BL,-0.13106,0.13219,-0.20106,89
14.7400,0,28,FL,0.25574,0.13155,0.18574,89
14.7400,0,29,BR,-0.13152,-0.15181,-0.20152,89
14.7400,0,30,FR,0.25528,-0.15245,0.18528,89
14.7400,0,31,BL,-0.13106,0.13219,-0.20106,89
16.0480,43,0,FL,0.25486,0.13156,0.18486,131
16.0480,43,1,BR,-0.13222,-0.15181,-0.20222,131
16.0480,43,2,FR,0.25476,-0.15244,0.18476,131
16.0480,43,3,BL,-0.13138,0.13219,-0.20138,131
16.0480,43,4,FL,0.25561,0.13156,0.18561,91
16.0480,43,5,BR,-0.13147,-0.15181,-0.20147,91
16.0480,43,6,FR,0.25551,-0.15244,0.18551,91
16.0480,43,7,BL,-0.13063,0.13219,-0.20063,91
16.0480,43,8,FL,0.25636,0.13156,0.18636,91
16.0480,43,9,BR,-0.13072,-0.15181,-0.20072,91
16.0480,43,10,FR,0.25626,-0.15244,0.18626,91
16.0480,43,11,BL,-0.12988,0.13219,-0.19988,91
16.0480,43,12,FL,0.25710,0.13156,0.18710,91
16.0480,43,13,BR,-0.12998,-0.15181,-0.19998,91
16.0480,43,14,FR,0.25701,-0.15244,0.18701,91
16.0480,43,15,BL,-0.12913,0.13219,-0.19913,91
16.0480,43,16,FL,0.25785,0.13156,0.18785,91
16.0480,43,17,BR,-0.12923,-0.15181,-0.19923,91
16.0480,43,18,FR,0.25776,-0.15244,0.18776,91
16.0480,43,19,BL,-0.12839,0.13219,-0.19839,91
16.0480,43,20,FL,0.25860,0.13156,0.18860,91
16.0480,43,21,BR,-0.12848,-0.15181,-0.19848,91
16.0480,43,22,FR,0.25851,-0.15244,0.18851,91
16.0480,43,23,BL,-0.12764,0.13219,-0.19764,91
16.0480,43,24,FL,0.25935,0.13156,0.18935,91
16.0480,43,25,BR,-0.12773,-0.15181,-0.19773,91
