time,current_plan_index,verdict,blocked_step_k,blocked_leg,n_placed,max_feasible_progress_m,plan_distance_m,compute_time_us
14.7400,0,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,1223
14.8260,2,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,585
14.8740,4,FEASIBLE_TO_RANGE,-1,-,32,-0.1221,2.50,518
14.9180,5,FEASIBLE_TO_RANGE,-1,-,32,-0.1199,2.50,526
14.9660,7,FEASIBLE_TO_RANGE,-1,-,32,-0.1169,2.50,540
15.0180,9,FEASIBLE_TO_RANGE,-1,-,32,-0.1134,2.50,531
15.0620,10,FEASIBLE_TO_RANGE,-1,-,32,-0.1104,2.50,524
15.1060,12,FEASIBLE_TO_RANGE,-1,-,32,-0.1079,2.50,538
15.1520,13,FEASIBLE_TO_RANGE,-1,-,32,-0.1058,2.50,528
15.1960,15,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,520
15.2400,16,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,567
15.2840,18,FEASIBLE_TO_RANGE,-1,-,32,-0.1024,2.50,566
15.3300,19,FEASIBLE_TO_RANGE,-1,-,32,-0.1020,2.50,534
15.3800,21,FEASIBLE_TO_RANGE,-1,-,32,-0.1017,2.50,972
15.4320,23,FEASIBLE_TO_RANGE,-1,-,32,-0.1015,2.50,537
15.4780,24,FEASIBLE_TO_RANGE,-1,-,32,-0.1013,2.50,521
15.8560,37,FEASIBLE_TO_RANGE,-1,-,32,-0.1224,2.50,528
15.9000,38,FEASIBLE_TO_RANGE,-1,-,32,-0.1232,2.50,673
15.9460,40,FEASIBLE_TO_RANGE,-1,-,32,-0.1231,2.50,613
16.0000,42,FEASIBLE_TO_RANGE,-1,-,32,-0.1204,2.50,538
16.0480,43,FEASIBLE_TO_RANGE,-1,-,32,-0.1172,2.50,961
16.1020,45,FEASIBLE_TO_RANGE,-1,-,32,-0.1136,2.50,551
16.1620,47,FEASIBLE_TO_RANGE,-1,-,32,-0.1101,2.50,537
16.2060,48,FEASIBLE_TO_RANGE,-1,-,32,-0.1079,2.50,520
16.2520,50,FEASIBLE_TO_RANGE,-1,-,32,-0.1065,2.50,523
16.2960,51,FEASIBLE_TO_RANGE,-1,-,32,-0.1056,2.50,522
16.3400,53,FEASIBLE_TO_RANGE,-1,-,32,-0.1052,2.50,521
16.3860,54,FEASIBLE_TO_RANGE,-1,-,32,-0.1049,2.50,528
16.4300,56,FEASIBLE_TO_RANGE,-1,-,32,-0.1047,2.50,521
16.4840,58,FEASIBLE_TO_RANGE,-1,-,32,-0.1045,2.50,511
16.5340,59,FEASIBLE_TO_RANGE,-1,-,32,-0.1042,2.50,542
16.5800,61,FEASIBLE_TO_RANGE,-1,-,32,-0.1040,2.50,580
16.6340,63,FEASIBLE_TO_RANGE,-1,-,32,-0.1038,2.50,692
16.6920,65,FEASIBLE_TO_RANGE,-1,-,32,-0.1037,2.50,970
16.7520,67,FEASIBLE_TO_RANGE,-1,-,32,-0.1035,2.50,602
16.8080,68,FEASIBLE_TO_RANGE,-1,-,32,-0.1033,2.50,979
16.8600,70,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,528
16.9040,72,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,757
16.9500,73,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,617
16.9980,75,FEASIBLE_TO_RANGE,-1,-,32,-0.1032,2.50,745
17.0520,77,FEASIBLE_TO_RANGE,-1,-,32,-0.1033,2.50,523
